día,precio de cierre ajustado,cambio de precio,dia,precio final,cambio,mes,dia,precio final,cambio,,,,día,precio de cierre,cambio de precio
1,1342.1,0,2,1332.8,-9.3,0,1,1342.1,-9.3,,,,2,1332.8,-9.3
2,1332.8,-9.3,20,1320.3,4,1,28,1311.3,-0.7,,,,200,1286.2,-2.9
3,1335.8,3,40,1303.3,-0.4,2,56,1275.6,-0.6,,,,400,1493.2,6.2
4,1324.3,-11.5,60,1265.6,-1.8,3,84,1221.3,-1.3,,,,600,1985,48
5,1331.9,7.6,80,1223.9,-0.1,4,112,1193.6,-4.3,,,,800,1871.2,-36.3
6,1336.3,4.4,100,1192.6,5.8,5,140,1223.7,-3.6,,,,1000,1928.2,-13.9
7,1342,5.7,120,1202.2,5.4,6,168,1211.2,-9,,,,1200,1852.8,13.1
8,1356.5,14.5,140,1223.7,-3.6,7,196,1289.3,6.1,,,,,,
9,1338.4,-18.1,160,1207.9,8.7,8,224,1340.1,22,,,,,,
10,1344.8,6.4,,,,9,252,1288.4,-4.6,,,,,,
11,1347.5,2.7,,,,10,280,1285.7,2.2,,,,,,
12,1347.2,-0.3,,,,11,308,1392.9,48.3,,,,,,
13,1351.2,4,,,,12,336,1426.1,-3.6,,,,,,
14,1346.8,-4.4,,,,13,364,1490.3,-11.9,,,,,,
15,1336.7,-10.1,,,,14,392,1488.2,-4.1,,,,,,
16,1322.5,-14.2,,,,15,420,1453.4,-6.4,,,,,,
17,1331.4,8.9,,,,16,448,1551.7,-5.7,,,,,,
18,1321.2,-10.2,,,,17,476,1616.6,9.1,,,,,,
19,1316.3,-4.9,,,,18,504,1583.4,-38.6,,,,,,
20,1320.3,4,,,,19,532,1695.3,-14.6,,,,,,
21,1316.2,-4.1,,,,20,560,1745.9,21.1,,,,,,
22,1303.8,-12.4,,,,21,588,1942.3,-11.2,,,,,,
23,1302.6,-1.2,,,,22,616,1944.7,11.7,,,,,,
24,1310.7,8.1,,,,23,644,1906.4,5.6,,,,,,
25,1312.7,2,,,,24,672,1781.9,-23.8,,,,,,
26,1312.2,-0.5,,,,25,700,1834.1,-78.2,,,,,,
27,1312,-0.2,,,,26,728,1775.8,,,,,,,
28,1311.3,-0.7,,,,27,756,1713.8,,,,,,,
29,1320.8,9.5,,,,28,784,1835.9,,,,,,,
30,1319,-1.8,,,,29,812,1767.9,,,,,,,
31,1316.5,-2.5,,,,30,840,1812.6,,,,,,,
32,1288.9,-27.6,,,,31,868,1797.4,,,,,,,
33,1290.2,1.3,,,,32,896,1769.7,,,,,,,
34,1288.2,-2,,,,33,924,1782.3,,,,,,,
35,1290.2,2,,,,34,952,1797,,,,,,,
36,1290.2,0,,,,35,980,1900.7,,,,,,,
37,1291.7,1.5,,,,36,1008,1912,,,,,,,
38,1289.3,-2.4,,,,37,1036,1839.9,,,,,,,
39,1303.7,14.4,,,,38,1064,1834.6,,,,,,,
40,1303.3,-0.4,,,,39,1092,1769,,,,,,,
41,1298.7,-4.6,,,,40,1120,1716.2,,,,,,,
42,1301.5,2.8,,,,41,1148,1627.5,,,,,,,
43,1300.1,-1.4,,,,42,1176,1748.4,,,,,,,
44,1294.8,-5.3,,,,43,1204,1871.6,,,,,,,
45,1293.1,-1.7,,,,44,1232,1833,,,,,,,
46,1297.5,4.4,,,,45,1260,1969,,,,,,,
47,1297.1,-0.4,,,,46,1288,2014.7,,,,,,,
48,1298.7,1.6,,,,47,1316,1912.7,,,,,,,
49,1298.1,-0.6,,,,48,1344,1937.4,,,,,,,
50,1298.9,0.8,,,,,,,,,,,,,
51,1295.1,-3.8,,,,,,,,,,,,,
52,1296.9,1.8,,,,,,,,,,,,,
53,1304,7.1,,,,,,,,,,,,,
54,1274.6,-29.4,,,,,,,,,,,,,
55,1276.2,1.6,,,,,,,,,,,,,
56,1275.6,-0.6,,,,,,,,,,,,,
57,1271.2,-4.4,,,,,,,,,,,,,
58,1267.2,-4,,,,,,,,,,,,,
59,1267.4,0.2,,,,,,,,,,,,,
60,1265.6,-1.8,,,,,,,,,,,,,
61,1256.6,-9,,,,,,,,,,,,,
62,1252.8,-3.8,,,,,,,,,,,,,
63,1247.8,-5,,,,,,,,,,,,,
64,1251.3,3.5,,,,,,,,,,,,,
65,1239.8,-11.5,,,,,,,,,,,,,
66,1251.6,11.8,,,,,,,,,,,,,
67,1257.3,5.7,,,,,,,,,,,,,
68,1254.3,-3,,,,,,,,,,,,,
69,1258.1,3.8,,,,,,,,,,,,,
70,1253.8,-4.3,,,,,,,,,,,,,
71,1242.8,-11,,,,,,,,,,,,,
72,1245,2.2,,,,,,,,,,,,,
73,1239.6,-5.4,,,,,,,,,,,,,
74,1238.1,-1.5,,,,,,,,,,,,,
75,1225.7,-12.4,,,,,,,,,,,,,
76,1226.3,0.6,,,,,,,,,,,,,
77,1222.4,-3.9,,,,,,,,,,,,,
78,1229.5,7.1,,,,,,,,,,,,,
79,1224,-5.5,,,,,,,,,,,,,
80,1223.9,-0.1,,,,,,,,,,,,,
81,1231.4,7.5,,,,,,,,,,,,,
82,1225.3,-6.1,,,,,,,,,,,,,
83,1222.6,-2.7,,,,,,,,,,,,,
84,1221.3,-1.3,,,,,,,,,,,,,
85,1223.7,2.4,,,,,,,,,,,,,
86,1217.9,-5.8,,,,,,,,,,,,,
87,1210.6,-7.3,,,,,,,,,,,,,
88,1214.2,3.6,,,,,,,,,,,,,
89,1208.6,-5.6,,,,,,,,,,,,,
90,1209.6,1,,,,,,,,,,,,,
91,1212.6,3,,,,,,,,,,,,,
92,1211.9,-0.7,,,,,,,,,,,,,
93,1211.1,-0.8,,,,,,,,,,,,,
94,1191.3,-19.8,,,,,,,,,,,,,
95,1193,1.7,,,,,,,,,,,,,
96,1177.5,-15.5,,,,,,,,,,,,,
97,1176.2,-1.3,,,,,,,,,,,,,
98,1176.5,0.3,,,,,,,,,,,,,
99,1186.8,10.3,,,,,,,,,,,,,
100,1192.6,5.8,,,,,,,,,,,,,
101,1196.3,3.7,,,,,,,,,,,,,
102,1187,-9.3,,,,,,,,,,,,,
103,1206.3,19.3,,,,,,,,,,,,,
104,1209,2.7,,,,,,,,,,,,,
105,1207.4,-1.6,,,,,,,,,,,,,
106,1204.5,-2.9,,,,,,,,,,,,,
107,1197.7,-6.8,,,,,,,,,,,,,
108,1200.3,2.6,,,,,,,,,,,,,
109,1192.7,-7.6,,,,,,,,,,,,,
110,1194.9,2.2,,,,,,,,,,,,,
111,1197.9,3,,,,,,,,,,,,,
112,1193.6,-4.3,,,,,,,,,,,,,
113,1193,-0.6,,,,,,,,,,,,,
114,1195.4,2.4,,,,,,,,,,,,,
115,1204.7,9.3,,,,,,,,,,,,,
116,1202,-2.7,,,,,,,,,,,,,
117,1195,-7,,,,,,,,,,,,,
118,1199.7,4.7,,,,,,,,,,,,,
119,1196.8,-2.9,,,,,,,,,,,,,
120,1202.2,5.4,,,,,,,,,,,,,
121,1206.2,4,,,,,,,,,,,,,
122,1196.2,-10,,,,,,,,,,,,,
123,1199.3,3.1,,,,,,,,,,,,,
124,1200,0.7,,,,,,,,,,,,,
125,1194,-6,,,,,,,,,,,,,
126,1182.3,-11.7,,,,,,,,,,,,,
127,1191.5,9.2,,,,,,,,,,,,,
128,1187.1,-4.4,,,,,,,,,,,,,
129,1202.4,15.3,,,,,,,,,,,,,
130,1198.3,-4.1,,,,,,,,,,,,,
131,1197.2,-1.1,,,,,,,,,,,,,
132,1201.2,4,,,,,,,,,,,,,
133,1184.4,-16.8,,,,,,,,,,,,,
134,1187.2,2.8,,,,,,,,,,,,,
135,1189.3,2.1,,,,,,,,,,,,,
136,1223.5,34.2,,,,,,,,,,,,,
137,1218.1,-5.4,,,,,,,,,,,,,
138,1226.4,8.3,,,,,,,,,,,,,
139,1227.3,0.9,,,,,,,,,,,,,
140,1223.7,-3.6,,,,,,,,,,,,,
141,1226.5,2.8,,,,,,,,,,,,,
142,1225.3,-1.2,,,,,,,,,,,,,
143,1221.2,-4.1,,,,,,,,,,,,,
144,1233.4,12.2,,,,,,,,,,,,,
145,1227.8,-5.6,,,,,,,,,,,,,
146,1229.1,1.3,,,,,,,,,,,,,
147,1232.5,3.4,,,,,,,,,,,,,
148,1224.5,-8,,,,,,,,,,,,,
149,1222.6,-1.9,,,,,,,,,,,,,
150,1212.3,-10.3,,,,,,,,,,,,,
151,1236,23.7,,,,,,,,,,,,,
152,1230.9,-5.1,,,,,,,,,,,,,
153,1229.8,-1.1,,,,,,,,,,,,,
154,1223.8,-6,,,,,,,,,,,,,
155,1226.2,2.4,,,,,,,,,,,,,
156,1222.9,-3.3,,,,,,,,,,,,,
157,1206.4,-16.5,,,,,,,,,,,,,
158,1201.3,-5.1,,,,,,,,,,,,,
159,1199.2,-2.1,,,,,,,,,,,,,
160,1207.9,8.7,,,,,,,,,,,,,
161,1212.8,4.9,,,,,,,,,,,,,
162,1220.8,8,,,,,,,,,,,,,
163,1223.1,2.3,,,,,,,,,,,,,
164,1219,-4.1,,,,,,,,,,,,,
